『三四郎』夏目漱石,En_text,Happy,Angry,Surprise,Sad,Fear
"もとから込み合った客車でもなかったのが、急に寂しくなった。
日の暮れたせいかもしれない。
駅夫が屋根をどしどし踏んで、上から灯のついたランプをさしこんでゆく。
三四郎は思い出したように前の停車場で買った弁当を食いだした。
車が動きだして二分もたったろうと思うころ、例の女はすうと立って三四郎の横を通り越して車室の外へ出て行った。","It was not a crowded coach to begin with, but it suddenly became lonely.
Perhaps it was because the sun had set.
The station master was pounding on the roof and inserting a lighted lamp from above.
Sanshiro started to eat his lunch box that he had bought at the previous stop as if he had just remembered.
When the car had been in motion for two minutes, the woman stood up and walked out of the car, passing by Sanshiro.",0.0,0.0,0.0,0.17,0.83
"この時女の帯の色がはじめて三四郎の目にはいった。
三四郎は鮎の煮びたしの頭をくわえたまま女の後姿を見送っていた。
便所に行ったんだなと思いながらしきりに食っている。
女はやがて帰って来た。
今度は正面が見えた。","It was at this point that the color of the woman's sash caught Sanshiro's eye for the first time.
Sanshiro looked away from the woman with the head of boiled sweetfish in his mouth.
He kept eating it, thinking that she had gone to the toilet.
The woman eventually returned.
This time he could see the front.",0.0,0.14,0.14,0.43,0.29
"三四郎の弁当はもうしまいがけである。
下を向いて一生懸命に箸を突っ込んで二口三口ほおばったが、女は、どうもまだ元の席へ帰らないらしい。
もしやと思って、ひょいと目を上げて見るとやっぱり正面に立っていた。
しかし三四郎が目を上げると同時に女は動きだした。
ただ三四郎の横を通って、自分の座へ帰るべきところを、すぐと前へ来て、からだを横へ向けて、窓から首を出して、静かに外をながめだした。","Sanshiro's lunch was about to be finished.
He looked down, poked his chopsticks into his mouth and took two or three bites, but the woman did not seem to be going back to her seat.
He looked up and saw that she was still standing in front of him.
However, as soon as Sanshiro raised his eyes, the woman started to move.
Instead of simply walking past him and returning to her own seat, she immediately came to the front, turned her body to the side, stuck her head out of the window, and quietly began to look out.",0.0,0.0,0.12,0.38,0.5
"風が強くあたって、鬢がふわふわするところが三四郎の目にはいった。
この時三四郎はからになった弁当の折を力いっぱいに窓からほうり出した。
女の窓と三四郎の窓は一軒おきの隣であった。
風に逆らってなげた折の蓋が白く舞いもどったように見えた時、三四郎はとんだことをしたのかと気がついて、ふと女の顔を見た。
顔はあいにく列車の外に出ていた。","The wind was blowing strongly, and the fluffy sideburns caught his eye.
At this point, he threw the empty lunch box out of the window with all his might.
The woman's window was next to Sanshiro's window, one house apart.
When the lid of the folded lunch box, which had been thrown against the wind, appeared to be flying back white, Sanshiro realized that he had done a terrible thing and looked at the woman's face.
Unfortunately, her face was outside the train.",0.0,0.0,0.29,0.29,0.43
"けれども、女は静かに首を引っ込めて更紗のハンケチで額のところを丁寧にふき始めた。
三四郎はともかくもあやまるほうが安全だと考えた。","However, the woman quietly pulled her head back and began to carefully wipe her forehead with a chintz-embossed handkerchief.
Sanshiro thought it would be safer to apologize anyway.",0.0,0.0,0.0,0.5,0.5
「ごめんなさい」と言った。,"I said, ""I'm sorry.""",0.0,0.0,0.0,1.0,0.0
"女は「いいえ」と答えた。
まだ顔をふいている。
三四郎はしかたなしに黙ってしまった。","The woman answered, ""No.""
She was still wiping her face.
Sanshiro had no choice but to shut up.",0.0,1.0,0.0,0.0,0.0
"女も黙ってしまった。
そうしてまた首を窓から出した。
三、四人の乗客は暗いランプの下で、みんな寝ぼけた顔をしている。
口をきいている者はだれもない。
汽車だけがすさまじい音をたてて行く。","The woman also fell silent.
Then she stuck her head out the window again.
The three or four passengers were all sleepy-faced under the dark lamps.
No one was talking.
Only the train was making a tremendous noise.",0.0,0.17,0.17,0.33,0.33
三四郎は目を眠った。,Sanshiro slept his eyes.,0,0,0,0,0
"しばらくすると「名古屋はもうじきでしょうか」と言う女の声がした。
見るといつのまにか向き直って、及び腰になって、顔を三四郎のそばまでもって来ている。
三四郎は驚いた。","After a while, a woman's voice said, ""Will Nagoya be here soon?
She turned her head to look at him and brought her face close to his.
Sanshiro was astonished.",0.17,0.0,0.33,0.17,0.33
「そうですね」と言ったが、はじめて東京へ行くんだからいっこう要領を得ない。,"I said, ""Yes, that's right,"" but since I was going to Tokyo for the first time, I didn't really get the gist of it.",0,0,0,0,0
「この分では遅れますでしょうか」,Will this delay us?,0,0,0,0,0
「遅れるでしょう」,"We will be late.""",0.0,0.0,0.0,1.0,0.0
「あんたも名古屋へお降りで……」,You too can come down to Nagoya: ......,0,0,0,0,0
"「はあ、降ります」
この汽車は名古屋どまりであった。
会話はすこぶる平凡であった。","I'm getting off.
The train stopped at Nagoya.
The conversation was quite ordinary.",0.0,0.0,0.0,0.0,1.0
"ただ女が三四郎の筋向こうに腰をかけたばかりである。
それで、しばらくのあいだはまた汽車の音だけになってしまう。
次の駅で汽車がとまった時、女はようやく三四郎に名古屋へ着いたら迷惑でも宿屋へ案内してくれと言いだした。
一人では気味が悪いからと言って、しきりに頼む。
三四郎ももっともだと思った。","The woman had just sat down on the other side of Sanshiro's line.
So, for a while, there was nothing but the sound of the train again.
When the train stopped at the next station, the woman finally asked Sanshiro to take her to an inn, even if it would be a nuisance if she arrived in Nagoya.
The woman insisted, saying that it would be too creepy for her to go alone.
Sanshiro thought she was right.",0.0,0.0,0.0,0.0,1.0
"けれども、そう快く引き受ける気にもならなかった。
なにしろ知らない女なんだから、すこぶる躊躇したにはしたが、断然断る勇気も出なかったので、まあいいかげんな生返事をしていた。
そのうち汽車は名古屋へ着いた。
大きな行李は新橋まで預けてあるから心配はない。
三四郎はてごろなズックの鞄と傘だけ持って改札場を出た。","However, I was not so willing to accept the offer.
I was very hesitant because I did not know the woman, but I did not have the courage to refuse her.
Soon the train arrived at Nagoya.
The train arrived at Nagoya, and Sanshiro was not worried because he had left his large luggage at Shimbashi.
Sanshiro walked out of the ticket gate with only a modest zuku bag and an umbrella.",0.0,0.0,0.0,0.5,0.5
"頭には高等学校の夏帽をかぶっている。
しかし卒業したしるしに徽章だけはもぎ取ってしまった。
昼間見るとそこだけ色が新しい。
うしろから女がついて来る。
三四郎はこの帽子に対して少々きまりが悪かった。","He wears a high school summer cap on his head.
However, he has taken off only the emblem as a sign that he has graduated.
When seen in the daytime, only that part of the cap is a new color.
A woman followed behind him.
Sanshiro was a little uncomfortable with this hat.",0.17,0.0,0.17,0.17,0.5
"けれどもついて来るのだからしかたがない。
女のほうでは、この帽子をむろん、ただのきたない帽子と思っている。
九時半に着くべき汽車が四十分ほど遅れたのだから、もう十時はまわっている。
けれども暑い時分だから町はまだ宵の口のようににぎやかだ。
宿屋も目の前に二、三軒ある。","But since she was following me, I couldn't help it.
The woman, of course, thought the hat was just a plain old hat.
The train, which should have arrived at 9:30, was delayed for 40 minutes, so it was already around 10 o'clock.
But it was still hot and the town was still as lively as in the early evening.
There were a couple of inns right in front of me.",0.25,0.0,0.0,0.5,0.25
"ただ三四郎にはちとりっぱすぎるように思われた。
そこで電気燈のついている三階作りの前をすまして通り越して、ぶらぶら歩いて行った。
むろん不案内の土地だからどこへ出るかわからない。
ただ暗い方へ行った。
女はなんともいわずについて来る。","It just seemed a little too grand for Sanshiro.
So, he walked past a three-story building with an electric light on, and strolled aimlessly.
Of course, he was unfamiliar with the area, so he did not know where he was going.
He just went toward the dark.
The woman followed him without saying a word.",0.0,0.14,0.29,0.43,0.14
"すると比較的寂しい横町の角から二軒目に御宿という看板が見えた。
これは三四郎にも女にも相応なきたない看板であった。
三四郎はちょっと振り返って、一口女にどうですと相談したが、女は結構だというんで、思いきってずっとはいった。
上がり口で二人連れではないと断るはずのところを、いらっしゃい、――どうぞお上がり――御案内――梅の四番などとのべつにしゃべられたので、やむをえず無言のまま二人とも梅の四番へ通されてしまった。
下女が茶を持って来るあいだ二人はぼんやり向かい合ってすわっていた。","Then, from the corner of a relatively lonely side street, I saw a signboard that read ""Oyado"".
It was an ugly sign that neither Sanshiro nor the woman would recognize.
Sanshiro turned around and asked the woman if she liked it, but she said no, so he decided to go all the way in.
At the entrance, he should have refused her, saying that he was not with two people, but instead he heard her saying, ""Welcome, please come in. The two were sent to Plum No. 4 without saying a word.
While the servant brought them tea, they sat facing each other in a daze.",0.14,0.14,0.07,0.36,0.29
"下女が茶を持って来て、お風呂をと言った時は、もうこの婦人は自分の連れではないと断るだけの勇気が出なかった。
そこで手ぬぐいをぶら下げて、お先へと挨拶をして、風呂場へ出て行った。
風呂場は廊下の突き当りで便所の隣にあった。
薄暗くって、だいぶ不潔のようである。
三四郎は着物を脱いで、風呂桶の中へ飛び込んで、少し考えた。","When the servant came with tea and asked for a bath, I could not muster up the courage to simply refuse, as this lady was no longer my companion.
So I hung up my hand towel, said good-bye, and went out to the bathhouse.
The bathroom was at the end of the hallway, next to the lavatory.
It was dimly lit and looked rather filthy.
Sanshiro took off his kimono, jumped into the tub, and thought for a moment.",0.0,0.0,0.2,0.2,0.6
"こいつはやっかいだとじゃぶじゃぶやっていると、廊下に足音がする。
だれか便所へはいった様子である。
やがて出て来た。
手を洗う。
それが済んだら、ぎいと風呂場の戸を半分あけた。","As I was soaking the water, I heard footsteps in the corridor.
Someone had gone to the bathroom.
Eventually, he came out.
He washed his hands.
When he was done, he opened the bathroom door halfway with a jerk.",0.0,0.0,0.0,0.33,0.67
"例の女が入口から、「ちいと流しましょうか」と聞いた。
三四郎は大きな声で、","The woman asked from the entrance, ""Shall we pour a little water?
Sanshiro shouted in a loud voice.",0.2,0.0,0.2,0.2,0.4
"「いえ、たくさんです」と断った。
しかし女は出ていかない。
かえってはいって来た。","I refused, saying, ""No, I have plenty.""
But the woman did not leave.
Instead, she came in.",0.0,0.0,0.0,0.5,0.5
"そうして帯を解きだした。
三四郎といっしょに湯を使う気とみえる。
べつに恥かしい様子も見えない。
三四郎はたちまち湯槽を飛び出した。
そこそこにからだをふいて座敷へ帰って、座蒲団の上にすわって、少なからず驚いていると、下女が宿帳を持って来た。","Then he began to undo his obi.
It appeared that she wanted to use the hot water together with Sanshiro.
He did not look embarrassed.
Sanshiro immediately ran out of the bathtub.
After wiping himself off, he returned to the tatami room and sat down on the cushion.",0.0,0.0,0.14,0.57,0.29
"三四郎は宿帳を取り上げて、福岡県京都郡真崎村小川三四郎二十三年学生と正直に書いたが、女のところへいってまったく困ってしまった。
湯から出るまで待っていればよかったと思ったが、しかたがない。
下女がちゃんと控えている。
やむをえず同県同郡同村同姓花二十三年とでたらめを書いて渡した。
そうしてしきりに団扇を使っていた。","Sanshiro took up his hotel ledger and honestly wrote ""Ogawa Sanshiro, 23 years student, Masaki-mura, Kyoto-gun, Fukuoka Prefecture,"" but when he went to the woman, he was completely embarrassed.
He wished he had waited until he got out of the bath, but there was nothing he could do.
The servant girl was waiting for me.
I had no choice but to give her a bullshit note saying ""Same surname, same village, same county, same prefecture, same family name, 23 years old,"" and handed it to her.
Then, she was using the fan frequently.",0.0,0.12,0.5,0.0,0.38
やがて女は帰って来た。,Eventually the woman returned.,0,0,0,0,0
「どうも、失礼いたしました」と言っている。,"He says, ""Hi, I beg your pardon.""",0.0,0.0,0.0,1.0,0.0
"三四郎は「いいや」と答えた。
三四郎は鞄の中から帳面を取り出して日記をつけだした。
書く事も何もない。","Sanshiro replied, ""No, thanks.
Sanshiro took out a ledger from his bag and began to keep a diary.
There was nothing to write.",0,0,0,0,0
女がいなければ書く事がたくさんあるように思われた。,It seemed to me that without the woman there would be plenty to write about.,0,0,0,0,0
"すると女は「ちょいと出てまいります」と言って部屋を出ていった。
三四郎はますます日記が書けなくなった。
どこへ行ったんだろうと考え出した。","The woman then said, ""I'll be out in a moment,"" and left the room.
Sanshiro became increasingly unable to write his diary.
He wondered where she had gone.",0.0,0.0,0.2,0.4,0.4
"そこへ下女が床をのべに来る。
広い蒲団を一枚しか持って来ないから、床は二つ敷かなくてはいけないと言うと、部屋が狭いとか、蚊帳が狭いとか言ってらちがあかない。
めんどうがるようにもみえる。
しまいにはただいま番頭がちょっと出ましたから、帰ったら聞いて持ってまいりましょうと言って、頑固に一枚の蒲団を蚊帳いっぱいに敷いて出て行った。
それから、しばらくすると女が帰って来た。","Then, a servant came to help him spread the floor.
When I told her that I had brought only one large futon and that she would have to put down two futons on the floor, she was not at ease, saying that the room was too small or that the mosquito net was too small.
He seemed to be annoyed.
Finally, he said, ""The watchman has just left. I'll ask him when he comes back and bring it to you,"" and stubbornly laid one kabuton on the mosquito net and left.
After a while, the woman came back.",0.0,0.0,0.15,0.38,0.46
"どうもおそくなりましてと言う。
蚊帳の影で何かしているうちに、がらんがらんという音がした。
子供にみやげの玩具が鳴ったに違いない。
女はやがて風呂敷包みをもとのとおりに結んだとみえる。","I say, ""Hi, I'm sorry I'm late.
While I was doing something in the shadow of the mosquito net, I heard a rattling sound.
It must have been the sound of a toy she had given to the child.
The woman eventually appears to have tied the wrapping cloth as it was.",0.0,0.0,0.17,0.67,0.17
蚊帳の向こうで「お先へ」と言う声がした。,"Behind the mosquito net, a voice said, ""Go ahead.",0.0,0.0,0.0,0.0,1.0
"三四郎はただ「はあ」と答えたままで、敷居に尻を乗せて、団扇を使っていた。
いっそこのままで夜を明かしてしまおうかとも思った。
けれども蚊がぶんぶん来る。","Sanshiro just kept answering, ""Haa,"" and put his butt on the threshold and used his fan.
He thought about spending the night like this, but the mosquitoes kept coming.
But mosquitoes were buzzing around him.",0.0,0.0,0.5,0.25,0.25
"外ではとてもしのぎきれない。
三四郎はついと立って、鞄の中から、キャラコのシャツとズボン下を出して、それを素肌へ着けて、その上から紺の兵児帯を締めた。
それから西洋手拭を二筋持ったまま蚊帳の中へはいった。
女は蒲団の向こうのすみでまだ団扇を動かしている。","It was too much for him to cover up outside.
Sanshiro stood up suddenly and took out a calico shirt and pants from his bag, put them on his bare skin, and put on a navy blue soldier's belt over it.
Then, holding two strips of Western hand towels, he entered the mosquito net.
The woman was still moving her fan in the corner behind the futon.",0.0,0.0,0.14,0.43,0.43
"「失礼ですが、私は癇症でひとの蒲団に寝るのがいやだから……少し蚤よけの工夫をやるから御免なさい」
三四郎はこんなことを言って、あらかじめ、敷いてある敷布の余っている端を女の寝ている方へ向けてぐるぐる巻きだした。
そうして蒲団のまん中に白い長い仕切りをこしらえた。","Excuse me, but I have irritability and don't like to sleep on other people's futons. ...... I'll do something to keep the fleas off, so please excuse me.
Sanshiro then began to wrap the excess end of the mattress toward the woman's sleeping position.
He then made a long white partition in the middle of the futon.",0.0,0.29,0.0,0.43,0.29
"女は向こうへ寝返りを打った。
三四郎は西洋手拭を広げて、これを自分の領分に二枚続きに長く敷いて、その上に細長く寝た。
その晩は三四郎の手も足もこの幅の狭い西洋手拭の外には一寸も出なかった。
女は一言も口をきかなかった。
女も壁を向いたままじっとして動かなかった。","The woman turned over.
Sanshiro unfolded a western hand towel, laid it out in two long strips in his own area, and slept on it in a long, thin strip.
That night, neither his hands nor his feet went outside of the narrow western hand towel.
The woman did not speak a word.
She, too, remained motionless with her face to the wall.",0.0,0.33,0.17,0.0,0.5
夜はようよう明けた。,The night was now well and truly over.,0,0,0,0,0
顔を洗って膳に向かった時、女はにこりと笑って、「ゆうべは蚤は出ませんでしたか」と聞いた。,"When he washed his face and went to the table, the woman smiled and asked, ""Did you get fleas last night?",0.33,0.0,0.0,0.0,0.67
"三四郎は「ええ、ありがとう、おかげさまで」というようなことをまじめに答えながら、下を向いて、お猪口の葡萄豆をしきりに突っつきだした。
勘定をして宿を出て、停車場へ着いた時、女ははじめて関西線で四日市の方へ行くのだということを三四郎に話した。
三四郎の汽車はまもなく来た。","Sanshiro replied seriously, ""Yes, thank you, thanks to you,"" and looked down and began to peck at the grape beans in his cup.
After paying the bill and leaving the inn, when they arrived at the station, the woman told Sanshiro for the first time that she was going to Yokkaichi on the Kansai Line.
Sanshiro's train arrived shortly.",0.0,0.25,0.25,0.25,0.25
"時間のつごうで女は少し待ち合わせることとなった。
改札場のきわまで送って来た女は、","Due to time constraints, the woman had to wait for a while.
The woman who had driven him to the edge of the turnstile",0.0,0.0,0.33,0.33,0.33
"「いろいろごやっかいになりまして、……ではごきげんよう」と丁寧にお辞儀をした。
三四郎は鞄と傘を片手に持ったまま、あいた手で例の古帽子を取って、ただ一言、","He bowed politely, saying, ""Thank you for all your trouble, and have a nice day at .......""
Sanshiro, still holding his bag and umbrella in one hand, picked up the old hat with his spare hand and simply said, ""I'm sorry for all the trouble I've caused you.",0.29,0.0,0.0,0.57,0.14
"「さよなら」と言った。
女はその顔をじっとながめていた、が、やがておちついた調子で、","Good-bye,"" he said.
The woman stared at her face, but then, in a calm tone, she said, ""I'm sorry, I'm sorry.",0.33,0.0,0.0,0.67,0.0
"「あなたはよっぽど度胸のないかたですね」と言って、にやりと笑った。
三四郎はプラットフォームの上へはじき出されたような心持ちがした。
車の中へはいったら両方の耳がいっそうほてりだした。","He said, ""You are very gutless,"" and chuckled.
Sanshiro felt as if he had been thrown off the platform.
When he entered the car, both of his ears began to burn.",0.0,0.0,0.0,1.0,0.0
"しばらくはじっと小さくなっていた。
やがて車掌の鳴らす口笛が長い列車の果から果まで響き渡った。
列車は動きだす。
三四郎はそっと窓から首を出した。
女はとくの昔にどこかへ行ってしまった。","For a while it remained still and small.
Soon the conductor's whistle echoed from the end of the long train to the end.
The train started to move.
Sanshiro gently stuck his head out of the window.
The woman had long since gone.",0.0,0.0,0.0,0.2,0.8
"大きな時計ばかりが目についた。
三四郎はまたそっと自分の席に帰った。
乗合いはだいぶいる。
けれども三四郎の挙動に注意するような者は一人もない。
ただ筋向こうにすわった男が、自分の席に帰る三四郎をちょっと見た。","All he could see was a large clock.
Sanshiro quietly returned to his seat.
There were many passengers in the car.
However, no one paid any attention to his behavior.
Only the man sitting on the other side of the line looked at him as he returned to his seat.",0.0,0.0,0.0,0.0,1.0
"三四郎はこの男に見られた時、なんとなくきまりが悪かった。
本でも読んで気をまぎらかそうと思って、鞄をあけてみると、昨夜の西洋手拭が、上のところにぎっしり詰まっている。
そいつをそばへかき寄せて、底のほうから、手にさわったやつをなんでもかまわず引き出すと、読んでもわからないベーコンの論文集が出た。
ベーコンには気の毒なくらい薄っぺらな粗末な仮綴である。
元来汽車の中で読む了見もないものを、大きな行李に入れそくなったから、片づけるついでに提鞄の底へ、ほかの二、三冊といっしょにほうり込んでおいたのが、運悪く当選したのである。","Sanshiro was somewhat embarrassed when this man saw him.
Thinking he could distract himself by reading a book, he opened his bag and found last night's Western hand towels packed tightly in the upper part of the bag.
I shuffled them over to the side and pulled out whatever I could find at the bottom, which turned out to be a collection of Bacon's papers, which I didn't even know how to read.
It was a very flimsy and crude pseudo-binder, which was unfortunate for Bacon.
I had no intention of reading it on the train in the first place, and since I had put it in a large luggage case, I had thrown it in the bottom of my briefcase along with two or three other books as I was putting it away, and it was unlucky enough to be selected.",0.0,0.09,0.09,0.55,0.27
"三四郎はベーコンの二十三ページを開いた。
他の本でも読めそうにはない。
ましてベーコンなどはむろん読む気にならない。
けれども三四郎はうやうやしく二十三ページを開いて、万遍なくページ全体を見回していた。
三四郎は二十三ページの前で一応昨夜のおさらいをする気である。","Sanshiro opened Bacon's twenty-three pages.
He could not read any other book.
He had no interest in reading Bacon, of course.
However, Sanshiro opened the 23 pages with a reverent look and looked around the entire page.
In front of the 23rd page, he wanted to review last night.",0.25,0.0,0.0,0.0,0.75
"元来あの女はなんだろう。
あんな女が世の中にいるものだろうか。
女というものは、ああおちついて平気でいられるものだろうか。
無教育なのだろうか、大胆なのだろうか。
それとも無邪気なのだろうか。","What was she originally like?
Is there such a woman in the world?
Is it possible for a woman to be so calm and unconcerned?
Is she uneducated, bold, or innocent?
Or is she innocent?",0.2,0.0,0.0,0.6,0.2
"要するにいけるところまでいってみなかったから、見当がつかない。
思いきってもう少しいってみるとよかった。
けれども恐ろしい。
別れぎわにあなたは度胸のないかただと言われた時には、びっくりした。
二十三年の弱点が一度に露見したような心持ちであった。","In short, I didn't go as far as I could have gone, so I have no idea.
I should have taken the plunge and gone a little further.
But it was horrible.
I was surprised when he told me at the end of our conversation that I lacked courage.
It was as if all my weaknesses of the past twenty-three years had been exposed at once.",0.12,0.12,0.12,0.25,0.38
"親でもああうまく言いあてるものではない。
――
三四郎はここまで来て、さらにしょげてしまった。
どこの馬の骨だかわからない者に、頭の上がらないくらいどやされたような気がした。
ベーコンの二十三ページに対しても、はなはだ申し訳がないくらいに感じた。","Not even parents can say it that well.
-- Sanshiro was even more disappointed now that he had come this far.
Sanshiro was even more disappointed after coming this far.
He felt as if he had been yelled at beyond his ability to think straight by some unknown person.
He felt so sorry for Bacon's twenty-three pages, too.",0.0,0.0,0.22,0.56,0.22
"どうも、ああ狼狽しちゃだめだ。
学問も大学生もあったものじゃない。
はなはだ人格に関係してくる。
もう少しはしようがあったろう。
けれども相手がいつでもああ出るとすると、教育を受けた自分には、あれよりほかに受けようがないとも思われる。","Thank you. Oh, don't be upset.
It's not about academics or college students.
It's a very personal thing.
You could have done a little better.
But if the other party is always like that, it seems to me that there is no other way for an educated person like me to take it.",0.0,0.0,0.0,0.0,1.0
"するとむやみに女に近づいてはならないというわけになる。
なんだか意気地がない。
非常に窮屈だ。
まるで不具にでも生まれたようなものである。
けれども……","Then it would mean that one should not approach a woman unnecessarily.
It's kind of spiritless.
It is very cramped.
It is as if I were born a cripple.
But ......",0.33,0.0,0.0,0.67,0.0
"三四郎は急に気をかえて、別の世界のことを思い出した。
――これから東京に行く。
大学にはいる。
有名な学者に接触する。
趣味品性の備わった学生と交際する。","Sanshiro suddenly changed his mind and remembered something from another world.
--I'm going to Tokyo now.
He was going to enter a university.
He would get in touch with famous scholars.
He would associate with students who had good taste and character.",0.25,0.0,0.25,0.25,0.25
