『銀河鉄道の夜』宮沢賢治,En_text,Happy,Angry,Surprise,Sad,Fear
"そして教室中はしばらく机の蓋をあけたりしめたり本を重ねたりする音がいっぱいでしたがまもなくみんなはきちんと立って礼をすると教室を出ました。
ジョバンニが学校の門を出るとき、同じ組の七八人は家へ帰らずカムパネルラをまん中にして校庭の隅の桜の木のところに集まっていました。
それはこんやの星祭に青いあかりをこしらえて川へ流す烏瓜を取りに行く相談らしかったのです。","The classroom was filled with the sounds of desks being opened and closed and books being stacked on top of each other, but soon everyone stood up, bowed, and left the classroom.
When Giovanni left the school gate, seventy-eight members of his class had not gone home, but were gathered around the cherry tree in the corner of the schoolyard with Cam panela in the middle.
The reason for the gathering was that they were going to pick up the cucumbers that were to be used to make blue lights to be floated down the river for the Star Festival this coming year.",0.09,0.0,0.27,0.36,0.27
"けれどもジョバンニは手を大きく振ってどしどし学校の門を出て来ました。
すると町の家々ではこんやの銀河の祭りにいちいの葉の玉をつるしたりひのきの枝にあかりをつけたりいろいろ仕度をしているのでした。
家へは帰らずジョバンニが町を三つ曲ってある大きな活版処にはいってすぐ入口の計算台に居ただぶだぶの白いシャツを着た人におじぎをしてジョバンニは靴をぬいで上りますと、突き当りの大きな扉をあけました。","But Giovanni came out of the school gate with a big wave of his hand.
He found that the houses in the town were preparing for the Galactic Festival, hanging ichii leaf beads and lighting hinoki branches.
Giovanni went to a large printing press three streets down and bowed to a man in a white shirt who was standing at the desk at the entrance.",0.12,0.0,0.0,0.25,0.62
"中にはまだ昼なのに電燈がついてたくさんの輪転器がばたりばたりとまわり、きれで頭をしばったりラムプシェードをかけたりした人たちが、何か歌うように読んだり数えたりしながらたくさん働いて居りました。
ジョバンニはすぐ入口から三番目の高い卓子に座った人の所へ行っておじぎをしました。
その人はしばらく棚をさがしてから、","Inside, even though it was still daytime, the lights were on and many rotary presses were going round and round, and there were many people working, their heads shackled with rags or wearing lampshades, reading or counting as if they were singing.
Giovanni immediately went to a man sitting at the third highest table from the entrance and bowed to him.
The man searched the shelves for a moment and then said, ""I'm sorry, I'm sorry.",0.11,0.11,0.0,0.22,0.56
「これだけ拾って行けるかね。」と云いながら、一枚の紙切れを渡しました。,"Can you pick up all this and go?"" He handed me a piece of paper.",0,0,0,0,0
"ジョバンニはその人の卓子の足もとから一つの小さな平たい函をとりだして向うの電燈のたくさんついた、たてかけてある壁の隅の所へしゃがみ込むと小さなピンセットでまるで粟粒ぐらいの活字を次から次と拾いはじめました。
青い胸あてをした人がジョバンニのうしろを通りながら、","Giovanni took a small flat box from under the man's table and crouched down in the corner of the wall opposite, where there were many electric lights.
A man wearing a blue breastplate walked behind Giovanni.",0.0,0.2,0.2,0.4,0.2
「よう、虫めがね君、お早う。」と云いますと、近くの四五人の人たちが声もたてずこっちも向かずに冷くわらいました。,"Good morning, Mr. Bug-Eyed Glasses,"" he said. When I said this, forty-five people nearby laughed coldly without making a sound or turning their heads.",0.0,0.0,0.33,0.33,0.33
"ジョバンニは何べんも眼を拭いながら活字をだんだんひろいました。
六時がうってしばらくたったころ、ジョバンニは拾った活字をいっぱいに入れた平たい箱をもういちど手にもった紙きれと引き合せてから、さっきの卓子の人へ持って来ました。
その人は黙ってそれを受け取って微かにうなずきました。","Giovanni wiped his eyes over and over again as he gradually picked up more and more type.
After 6 o'clock had passed, Giovanni put the flat box full of the type he had found together with the piece of paper in his hand once more, and brought it to the tableboy who had just come in.
The person silently accepted it and nodded slightly.",0.0,0.0,0.0,0.6,0.4
"ジョバンニはおじぎをすると扉をあけてさっきの計算台のところに来ました。
するとさっきの白服を着た人がやっぱりだまって小さな銀貨を一つジョバンニに渡しました。
ジョバンニは俄かに顔いろがよくなって威勢よくおじぎをすると台の下に置いた鞄をもっておもてへ飛びだしました。","Giovanni bowed, opened the door, and came to the table.
The white-robed man handed Giovanni a small silver coin.
Giovanni's face suddenly lit up, and he bowed with a flourish, then ran out to the front with the bag he had left under the table.",0.0,0.0,0.0,0.0,1.0
"それから元気よく口笛を吹きながらパン屋へ寄ってパンの塊を一つと角砂糖を一袋買いますと一目散に走りだしました。
ジョバンニが勢よく帰って来たのは、ある裏町の小さな家でした。
その三つならんだ入口の一番左側には空箱に紫いろのケールやアスパラガスが植えてあって小さな二つの窓には日覆いが下りたままになっていました。","Then, whistling cheerfully, he stopped at a bakery to buy a loaf of bread and a bag of sugar cubes, and ran off at full speed.
Giovanni returned in high spirits to a small house in a backstreet.
At the far left of the three entrances to the house, there were empty boxes of purple kale and asparagus, and two small windows with their canopies still down.",0.4,0.2,0.0,0.2,0.2
「お母さん。いま帰ったよ。工合悪くなかったの。」,"""Mom, I'm home. I'm home now. It wasn't bad.",0.33,0.0,0.0,0.67,0.0
ジョバンニは靴をぬぎながら云いました。,Giovanni said as he took off his shoes.,0.0,0.0,0.0,0.0,1.0
「ああ、ジョバンニ、お仕事がひどかったろう。今日は涼しくてね。わたしはずうっと工合がいいよ。」,"'Oh, Giovanni, your work must have been terrible. It's cooler today. I'm much better at my work.",0.0,0.0,0.0,0.0,1.0
"ジョバンニは玄関を上って行きますとジョバンニのお母さんがすぐ入口の室に白い巾を被って寝んでいたのでした。
ジョバンニは窓をあけました。","Giovanni went up to the front door and found his mother lying in the entrance room, covered with a white cloth.
Giovanni opened the window.",0.2,0.0,0.0,0.0,0.8
「お母さん。今日は角砂糖を買ってきたよ。牛乳に入れてあげようと思って。」,"Mother. I bought sugar cubes today. I thought I'd put it in your milk.""",0.0,0.0,0.0,1.0,0.0
「ああ、お前さきにおあがり。あたしはまだほしくないんだから。」,"""Oh, you're up first. I don't want it yet.""",0.0,1.0,0.0,0.0,0.0
「お母さん。姉さんはいつ帰ったの。」,"When did she get back? When did your sister leave?""",0,0,0,0,0
「ああ三時ころ帰ったよ。みんなそこらをしてくれてね。」,"I left around three o'clock. They were all over the place.""",0.0,0.0,0.0,0.0,1.0
「お母さんの牛乳は来ていないんだろうか。」,"I wonder if your mother's milk is coming.""",0.0,0.0,1.0,0.0,0.0
「来なかったろうかねえ。」,"I wonder if they ever came.""",0.0,0.0,1.0,0.0,0.0
「ぼく行ってとって来よう。」,"I'll go and get it.""",0,0,0,0,0
「あああたしはゆっくりでいいんだからお前さきにおあがり、姉さんがね、トマトで何かこしらえてそこへ置いて行ったよ。」,"""Oh, I'll take my time, you go ahead, my sister made something out of tomatoes and left it there.""",0.0,0.0,0.0,1.0,0.0
「ではぼくたべよう。」,Then I'll eat.,0.0,0.0,0.0,0.0,1.0
ジョバンニは窓のところからトマトの皿をとってパンといっしょにしばらくむしゃむしゃたべました。,Giovanni took a plate of tomatoes from the window and munched on them with bread for a while.,0,0,0,0,0
「ねえお母さん。ぼくお父さんはきっと間もなく帰ってくると思うよ。」,"He said, ""Hey, Mom. I'm sure your father will be home soon.""",0.0,0.0,0.5,0.5,0.0
「あああたしもそう思う。けれどもおまえはどうしてそう思うの。」,"I think so, too. But why do you think so?",0,0,0,0,0
「だって今朝の新聞に今年は北の方の漁は大へんよかったと書いてあったよ。」,"Because I read in the paper this morning that the fishing has been very good up north this year.""",0,0,0,0,0
「ああだけどねえ、お父さんは漁へ出ていないかもしれない。」,"""Oh, but hey, your dad might not be out fishing.""",0.0,0.0,1.0,0.0,0.0
"「きっと出ているよ。
お父さんが監獄へ入るようなそんな悪いことをした筈がないんだ。
この前お父さんが持ってきて学校へ寄贈した巨きな蟹の甲らだのとなかいの角だの今だってみんな標本室にあるんだ。
六年生なんか授業のとき先生がかわるがわる教室へ持って行くよ。
一昨年修学旅行で〔以下数文字分空白〕","I'm sure he's out.
There is no way my father would have done such a bad thing as going to jail.
The last time he brought them to school, he donated the shells of giant crabs and the horns of the giant crabs, and they are all still in the specimen room.
In the sixth grade, the teachers take them to the classroom one after another during class.
The year before last, on a school trip.",0.0,0.0,0.33,0.33,0.33
「お父さんはこの次はおまえにラッコの上着をもってくるといったねえ。」,"Your father said he'd bring you a sea otter jacket next time.""",0.0,0.0,0.0,1.0,0.0
「みんながぼくにあうとそれを云うよ。ひやかすように云うんだ。」,"He said, ""That's what people say to me when they see me. They say that when they see me, as if they're trying to snipe at me.",0,0,0,0,0
「おまえに悪口を云うの。」,"""I'm talking shit to you.""",0.0,0.0,1.0,0.0,0.0
「うん、けれどもカムパネルラなんか決して云わない。カムパネルラはみんながそんなことを云うときは気の毒そうにしているよ。」,"Yes, but she would never say that. But he looks sorry when people say things like that.",0.0,0.0,0.5,0.5,0.0
「あの人はうちのお父さんとはちょうどおまえたちのように小さいときからのお友達だったそうだよ。」,"He's been friends with our father since he was just a little boy, just like you.""",1.0,0.0,0.0,0.0,0.0
「ああだからお父さんはぼくをつれてカムパネルラのうちへもつれて行ったよ。あのころはよかったなあ。ぼくは学校から帰る途中たびたびカムパネルラのうちに寄った。カムパネルラのうちにはアルコールラムプで走る汽車があったんだ。レールを七つ組み合せると円くなってそれに電柱や信号標もついていて信号標のあかりは汽車が通るときだけ青くなるようになっていたんだ。いつかアルコールがなくなったとき石油をつかったら、罐がすっかり煤けたよ。」,"He said, ""Oh, that's why my father took me with him to the Kam panela's house. Those were the good old days. On my way home from school, I would often stop by Kam panela's house. She had a train that ran on an alcohol ramp. It had seven rails that were put together to form a circle, and it also had telephone poles and signal beacons, and the lights on the beacons would turn blue only when the train passed by. When we ran out of alcohol, we used petroleum, and the can got all sooty.",0.12,0.25,0.12,0.38,0.12
「そうかねえ。」,"I guess so.""",0.0,0.0,1.0,0.0,0.0
「いまも毎朝新聞をまわしに行くよ。けれどもいつでも家中まだしぃんとしているからな。」,"I still go every morning to turn in the paper, but the house is always still quiet. But the house is always still quiet.""",0.0,0.0,0.33,0.67,0.0
「早いからねえ。」,It's early.,0,0,0,0,0
「ザウエルという犬がいるよ。しっぽがまるで箒のようだ。ぼくが行くと鼻を鳴らしてついてくるよ。ずうっと町の角までついてくる。もっとついてくることもあるよ。今夜はみんなで烏瓜のあかりを川へながしに行くんだって。きっと犬もついて行くよ。」,"There's a dog named Sauer. His tail is like a broom. When I go out, he follows me with his snout twitching. He follows me all the way to the corner of the town. Sometimes he follows me further. Tonight we're all going to the river to make the light of the gourd shine,"" he said, ""and I'm sure the dog will follow us. I'm sure the dog will follow too.""",0.0,0.0,0.0,1.0,0.0
「そうだ。今晩は銀河のお祭だねえ。」,"I said, ""Yes, it is. Tonight is the Galactic Festival.""",0,0,0,0,0
「うん。ぼく牛乳をとりながら見てくるよ。」,"I'm going to get some milk and check on him. I'm going to go get some milk and see what's going on.""",0,0,0,0,0
「ああ行っておいで。川へははいらないでね。」,"""Oh, go ahead. Just don't go in the river.""",0,0,0,0,0
「ああぼく岸から見るだけなんだ。一時間で行ってくるよ。」,"I'm just going to watch from the shore. I'll be there in an hour.""",0.0,0.0,0.5,0.0,0.5
「もっと遊んでおいで。カムパネルラさんと一緒なら心配はないから。」,"Come and play some more. You won't have to worry if you're with Mr. Camperla.""",0.0,0.0,0.0,0.67,0.33
「ああきっと一緒だよ。お母さん、窓をしめて置こうか。」,"""Oh, I'm sure we'll be together,"" he said. ""Mom, I'll close the window.""",1.0,0.0,0.0,0.0,0.0
「ああ、どうか。もう涼しいからね」,"Oh, please. It's cooler now.""",0,0,0,0,0
ジョバンニは立って窓をしめお皿やパンの袋を片附けると勢よく靴をはいて,"Giovanni stood up, closed the window, put away the plates and bread bags, and put on his shoes with great energy.",0.29,0.14,0.0,0.29,0.29
「では一時間半で帰ってくるよ。」と云いながら暗い戸口を出ました。,"I'll be back in an hour and a half. I'll be back in an hour and a half,"" he said as he left through the dark doorway.",0.0,0.0,0.0,1.0,0.0
"ジョバンニは、口笛を吹いているようなさびしい口付きで、檜のまっ黒にならんだ町の坂を下りて来たのでした。
坂の下に大きな一つの街燈が、青白く立派に光って立っていました。
ジョバンニが、どんどん電燈の方へ下りて行きますと、いままでばけもののように、長くぼんやり、うしろへ引いていたジョバンニの影ぼうしは、だんだん濃く黒くはっきりなって、足をあげたり手を振ったり、ジョバンニの横の方へまわって来るのでした。","Giovanni came down the black cypress-lined hill with a dreary whistling mouth.
At the bottom of the hill stood a large street light, glowing a magnificent pale blue light.
As Giovanni walked down toward the light, his long, hazy shadow, which had been trailing behind him like a monster, became darker and darker, lifting his legs, waving his hands, and circling to his side.",0.09,0.09,0.0,0.55,0.27
（ぼくは立派な機関車だ。ここは勾配だから速いぞ。ぼくはいまその電燈を通り越す。そうら、こんどはぼくの影法師はコムパスだ。あんなにくるっとまわって、前の方へ来た。）,"(I'm a great locomotive. (I'm a great locomotive, and I'm fast because of the gradient here. I'm passing the light now. (I'm a great locomotive. He spun around like that and came to the front.)",1.0,0.0,0.0,0.0,0.0
とジョバンニが思いながら、大股にその街燈の下を通り過ぎたとき、いきなりひるまのザネリが、新らしいえりの尖ったシャツを着て電燈の向う側の暗い小路から出て来て、ひらっとジョバンニとすれちがいました。,"As Giovanni passed under the streetlight, Zanelli, wearing a new shirt with a pointed collar, suddenly came out of the dark alley across from the light and passed Giovanni in a flash.",0.0,0.0,0.33,0.67,0.0
「ザネリ、烏瓜ながしに行くの。」,"""Zanelli, I'm going to go to the watermelon.""",0,0,0,0,0
ジョバンニがまだそう云ってしまわないうちに、,"Before Giovanni could say so, the",0,0,0,0,0
「ジョバンニ、お父さんから、らっこの上着が来るよ。」,"Giovanni, your father will send you a rakko jacket.""",0.0,0.0,0.0,0.0,1.0
"その子が投げつけるようにうしろから叫びました。
ジョバンニは、ばっと胸がつめたくなり、そこら中きぃんと鳴るように思いました。","The boy shouted from behind as if he were going to hurl himself at him.
Giovanni felt a tightness in his chest and a ringing all around.",0.0,0.0,0.5,0.5,0.0
「何だい。ザネリ。」とジョバンニは高く叫び返しましたがもうザネリは向うのひばの植った家の中へはいっていました。,"What is it, Zanelli? Zanelli! Giovanni shouted back, but Zanelli was already inside the hippopotamus house on the other side.",0.0,0.0,1.0,0.0,0.0
「ザネリはどうしてぼくがなんにもしないのにあんなことを云うのだろう。走るときはまるで鼠のようなくせに。ぼくがなんにもしないのにあんなことを云うのはザネリがばかなからだ。」,"I don't know why Zanelli says things like that when I don't do anything. He's like a rat when he runs. I don't know why Zanelli says things like that when I don't do anything, because he's an idiot.""",0.0,0.0,0.33,0.67,0.0
"ジョバンニは、せわしくいろいろのことを考えながら、さまざまの灯や木の枝で、すっかりきれいに飾られた街を通って行きました。
時計屋の店には明るくネオン燈がついて、一秒ごとに石でこさえたふくろうの赤い眼が、くるっくるっとうごいたり、いろいろな宝石が海のような色をした厚い硝子の盤に載って星のようにゆっくり循ったり、また向う側から、銅の人馬がゆっくりこっちへまわって来たりするのでした。
そのまん中に円い黒い星座早見が青いアスパラガスの葉で飾ってありました。","Giovanni hurriedly went through the city, which was decorated with lights and branches.
The watchmaker's store was brightly lit with neon lamps, and every second the red eyes of a stone owl would twirl around and around, various gems would slowly circle like stars on a thick glass disc the color of the sea, and from the other side a copper horseman would slowly come around to us.
In the middle of it, a circular black star chart was decorated with blue asparagus leaves.",0.17,0.17,0.17,0.33,0.17
"ジョバンニはわれを忘れて、その星座の図に見入りました。
それはひる学校で見たあの図よりはずうっと小さかったのですがその日と時間に合せて盤をまわすと、そのとき出ているそらがそのまま楕円形のなかにめぐってあらわれるようになって居りやはりそのまん中には上から下へかけて銀河がぼうとけむったような帯になってその下の方ではかすかに爆発して湯気でもあげているように見えるのでした。
またそのうしろには三本の脚のついた小さな望遠鏡が黄いろに光って立っていましたしいちばんうしろの壁には空じゅうの星座をふしぎな獣や蛇や魚や瓶の形に書いた大きな図がかかっていました。","Giovanni lost himself in the chart of the constellations, which was much smaller than the one he had seen at school that day.
It was much smaller than the one he had seen at school that day, but when he turned the board to match the day and time of the day, the sky as it appeared at that time appeared as it did in an oval shape, and in the middle of it, from top to bottom, there was a band of galaxies that looked as if it was smoking, and at the bottom, it looked as if it was faintly exploding with steam. The center of the image was a band of galaxies from top to bottom, and at the bottom of the band, it looked like a faint explosion of steam.
Behind it stood a small telescope with three legs, glowing yellow, and on the wall behind it hung a large chart of the constellations in the sky in the shapes of strange beasts, snakes, fish, and bottles.",0.19,0.24,0.14,0.19,0.24
"ほんとうにこんなような蝎だの勇士だのそらにぎっしり居るだろうか、ああぼくはその中をどこまでも歩いて見たいと思ってたりしてしばらくぼんやり立って居ました。
それから俄かにお母さんの牛乳のことを思いだしてジョバンニはその店をはなれました。
そしてきゅうくつな上着の肩を気にしながらそれでもわざと胸を張って大きく手を振って町を通って行きました。","I stood there for a while, wondering how many such scorpions and heroes could really be out there, wishing I could walk through them all.
Then, suddenly remembering his mother's milk, Giovanni left the store.
Then, mindful of the shoulders of his uncomfortable jacket, he walked through the town with his chest out, waving his hand in a big gesture.",0.0,0.0,0.33,0.33,0.33
"空気は澄みきって、まるで水のように通りや店の中を流れましたし、街燈はみなまっ青なもみや楢の枝で包まれ、電気会社の前の六本のプラタヌスの木などは、中に沢山の豆電燈がついて、ほんとうにそこらは人魚の都のように見えるのでした。
子どもらは、みんな新らしい折のついた着物を着て、星めぐりの口笛を吹いたり、","The air was so clear that it flowed through the streets and stores like water, the streetlights were all wrapped in blue fir and oak branches, and the six platanus trees in front of the electric company had so many bean lamps inside that they really looked like a mermaid city.
The children, all dressed in their new folded kimonos, whistled and played the starry night.",0.0,0.0,0.22,0.44,0.33
「ケンタウルス、露をふらせ。」と叫んで走ったり、青いマグネシヤの花火を燃したりして、たのしそうに遊んでいるのでした。,"Centaur, sprinkle the dew! and burning blue magnesia fireworks.",0.0,0.25,0.0,0.5,0.25
"けれどもジョバンニは、いつかまた深く首を垂れて、そこらのにぎやかさとはまるでちがったことを考えながら、牛乳屋の方へ急ぐのでした。
ジョバンニは、いつか町はずれのポプラの木が幾本も幾本も、高く星ぞらに浮んでいるところに来ていました。","But Giovanni would hang his head again and hurry to the milkman's, thinking of something different from the bustle of the streets.
Giovanni had come to a place on the outskirts of town where many, many poplar trees floated high in the starry sky.",0.0,0.0,0.0,0.4,0.6
その牛乳屋の黒い門を入り、牛の匂のするうすくらい台所の前に立って、ジョバンニは帽子をぬいで「今晩は、」と云いましたら、家の中はしぃんとして誰も居たようではありませんでした。,"Entering the black gate of the milkman's house, Giovanni stood in front of the kitchen, which smelled of cows, and took off his hat and said, ""Good evening.",0.0,0.0,0.0,0.33,0.67
「今晩は、ごめんなさい。」,"Evening, I'm sorry.""",0.0,0.0,0.0,1.0,0.0
"ジョバンニはまっすぐに立ってまた叫びました。
するとしばらくたってから、年老った女の人が、どこか工合が悪いようにそろそろと出て来て何か用かと口の中で云いました。","Giovanni stood up straight and shouted again.
After a while, an old woman came out, looking somewhat uncomfortable, and said in her mouth, ""What do you want?",0.0,0.0,0.5,0.25,0.25
「あの、今日、牛乳が僕※とこへ来なかったので、貰いにあがったんです。」,"I went up to get some milk because it didn't come to my place today.""",0.0,0.0,0.0,0.0,1.0
ジョバンニが一生けん命勢よく云いました。,Giovanni said with all his might and vigor.,0,0,0,0,0
「いま誰もいないでわかりません。あしたにして下さい。」,"I don't know, there is no one here right now. Please come back tomorrow.""",0.0,0.0,0.0,1.0,0.0
その人は、赤い眼の下のとこを擦りながら、ジョバンニを見おろして云いました。,"The man looked down at Giovanni, rubbing his red under eye.",0.0,1.0,0.0,0.0,0.0
「おっかさんが病気なんですから今晩でないと困るんです。」,"My mom is sick and I need her tonight.""",0.0,0.0,0.0,1.0,0.0
「ではもう少したってから来てください。」,"Then come back in a little while.""",0,0,0,0,0
その人はもう行ってしまいそうでした。,The person was about to go.,0,0,0,0,0
「そうですか。ではありがとう。」,"I see. Well, thank you.""",0,0,0,0,0
"ジョバンニは、お辞儀をして台所から出ました。
十字になった町のかどを、まがろうとしましたら、向うの橋へ行く方の雑貨店の前で、黒い影やぼんやり白いシャツが入り乱れて、六七人の生徒らが、口笛を吹いたり笑ったりして、めいめい烏瓜の燈火を持ってやって来るのを見ました。
その笑い声も口笛も、みんな聞きおぼえのあるものでした。","Giovanni bowed and left the kitchen.
As he rounded the crossroads of the town, he saw a crowd of sixty-seven students in a mixture of black shadows and white shirts, whistling and laughing, coming from the general store on the other side of the street toward the bridge, each carrying a crow's-lantern.
The laughter and whistling were all familiar to me.",0.0,0.0,0.17,0.5,0.33
"ジョバンニの同級の子供らだったのです。
ジョバンニは思わずどきっとして戻ろうとしましたが、思い直して、一そう勢よくそっちへ歩いて行きました。","It was the children of Giovanni's classmates.
Giovanni was so startled that he was about to go back, but then he thought better of it and walked briskly in that direction.",0,0,0,0,0
「川へ行くの。」,"We're going to the river.""",0,0,0,0,0
ジョバンニが云おうとして、少しのどがつまったように思ったとき、,Giovanni was about to say something when he felt a little choked up.,0.0,0.0,0.0,1.0,0.0
